CountryName,AccessElec,AgriLand,ArableLand,BirthRate,DeathRate,FertilityRate,FixedTelephone,ForestArea,GDP,GDPGrowth,GDPperCapita,HealthExpPerCapita,HealthExpPrivate,HealthExpPublic,HealthExpTotal,ImmunizationDPT,ImmunizationMeasles,MigrantStock,InternetUsers,LifeExp,MobileCellular,PollutionExposure,PopuDensity,PopGrowth,RuralPop,RuralPopGrowth,UrbanPop,UrbanPopGrowth
Czech Republic,100.0,55.390190242008494,41.9697165782322,8.9,10.6,1.15,37.770738267919,34.127086838359,2372630000000.0,4.294136059347649,10938.7344857374,361.22503238,0.611227500038676,5.70253485586126,6.3137627,98.0,97.0,4.42209862582024,9.780527888343931,74.9682926829268,42.3984415044177,100.0,132.717264138734,-0.28041410807888395,26.011999999999997,0.228335193341498,73.988,-0.4586622047026041
Denmark,100.0,62.3851048786236,53.7591326891351,12.6,10.9,1.77,71.8395783812885,13.7991986801791,1326912000000.0,3.74689051843748,46341.7737774748,2612.69268618,1.40390413037911,7.295185409620888,8.69908954,97.0,99.0,6.948552105619579,39.1724308555053,76.5926829268293,63.008124522435395,86.2182417597085,125.84529813811001,0.334233618829261,14.9,0.24035811070283605,85.1,0.350679180938332
Estonia,100.0,23.2602028780373,19.8867657466384,9.4,13.2,1.36,38.2702213646415,52.913422977117214,6170770000.0,10.5680819364531,7118.056716797601,214.37604404,1.18926549252713,4.07551493180403,5.28161198,93.0,93.0,17.860750115427198,28.576953810564603,70.41707317073171,40.7724960600007,38.695667205753004,32.9555319650861,1.17836692855029,30.631999999999998,1.7513020985015202,69.368,0.92640770869459
Finland,100.0,7.2819199579762985,7.183755211924231,11.0,9.5,1.73,55.033688903004,73.68922157654549,136261000000.0,5.63484745219101,34756.4330023313,1700.31964391,2.07458364459703,5.1444643198258095,7.21904741,99.0,96.0,2.5816190961377297,37.2484617371121,77.4658536585366,72.0300968881955,13.138294620643,16.994021471486302,0.2076065154133,17.817,-1.1138662299518798,82.18299999999999,0.496415301116337
France,100.0,54.53278691518471,33.5185164893364,13.3,8.9,1.89,57.397954668676704,27.921748245873605,1485303000000.0,3.87516225904459,33327.1459372079,2209.24382513,2.07901425626448,8.00581869117148,10.08483349,97.0,84.0,10.3077663963149,14.3079239430677,79.05609756097559,49.06407866259861,99.68294606134407,111.24229407961799,0.684930929367001,24.129,-0.374543235468484,75.87100000000001,1.0242381784728198
Georgia,99.9,43.1716793783278,11.411713915671301,11.964,10.033999999999999,1.609,10.7249971593251,39.7265793639373,6043056900.0,1.83834178668729,1018.7265883378799,44.98843071,5.75872911180055,1.18060888819946,6.939338,80.0,73.0,4.947604282189982,0.484746298540492,71.6303414634146,4.10534972344791,97.89731438027228,77.299765562126,-0.771072946015597,47.361999999999995,-0.260961553203916,52.638000000000005,-1.22784141880658
Germany,100.0,48.91245164063621,33.827195873334304,9.3,10.2,1.38,60.1347398955167,32.5376128385155,2116480000000.0,2.96204536784523,33832.1762102387,2386.65249772,2.12693528781142,8.26822955218857,10.39516484,90.0,92.0,12.1402979252004,30.21634660488889,77.9268292682927,57.7183339793647,100.0,235.596813297034,0.135431600393084,26.933000000000003,0.124293493400422,73.067,0.13953749625553102
Greece,100.0,66.1675717610551,21.2645461598138,9.5,9.6,1.27,51.5093680345918,27.936384794414305,141639392300.0,4.205155373545471,18808.7646390365,918.42963741,3.15084274203564,4.72846544796437,7.87930819,89.0,89.0,6.70214981806244,9.13883730776798,77.8878048780488,53.9953233323773,100.0,84.69730023273858,0.32020119778099393,27.284000000000002,-0.114983054598918,72.71600000000001,0.4839779276047991
Hungary,100.0,65.32024101763001,51.350145056906904,9.6,13.3,1.32,37.1499610773081,21.3903146619058,13310357000000.0,4.22741024770275,8931.83966076978,325.70724136,2.10023693860906,5.07667212139094,7.17690906,99.0,99.0,2.90821509531268,6.99967635062916,71.2463414634146,30.088468310160494,100.0,113.936297701406,-0.259764908288633,35.425,0.099379350579973,64.575,-0.4562401966469379
Iceland,100.0,18.8428927680798,1.28678304239401,15.3,6.5,2.08,69.8172921689532,0.287281795511222,701627000000.0,4.72363671936775,48503.0323925303,2961.3630753,1.8001912406718898,7.69953157932811,9.49972282,98.0,91.0,5.65139311178678,44.470533824288,79.65365853658541,76.4172480744202,0.288627058463158,2.80503740648379,1.3691928332981202,7.599,-0.37833717096995295,92.40100000000001,1.5142785866666102
Ireland,100.0,64.04412832051099,15.6336188125998,14.4,8.2,1.89,48.163111000459786,9.21686746987952,108359780400.0,10.2287525473907,42980.2899433403,1593.34337154,1.6020645242621698,4.5814417539082415,6.18305321,86.0,79.0,10.1144389192189,17.8504672405807,76.5365853658537,64.6994629760544,42.07013695890829,55.235505878937396,1.3330426658671202,40.854,0.7230013550211891,59.146,1.75660110035757
Italy,100.0,53.167182346741,28.829349563088602,9.5,9.8,1.26,47.6484741845312,28.4553398388358,1239758827800.0,3.7101496866813903,31063.698932500698,1527.23453424,2.02988937957081,5.84456926042919,7.87445864,87.0,74.0,3.72604400244543,23.110874244103695,79.7780487804878,74.1338872463339,100.0,193.60820101322602,0.045303631138613,32.778,-0.13757855807824,67.222,0.134599938879629
Kazakhstan,97.0,79.78416120309659,11.1713523724858,14.7,10.1,1.8,12.5841849595119,1.2464347890506398,2599901600000.0,9.80000000214156,2343.53703485828,52.14210683,2.04101882659792,2.11931065340208,4.16032948,97.0,99.0,19.2916699196822,0.668594402621264,65.5170731707317,1.35362801122201,55.0496616316459,5.513066637033742,-0.300549816049332,44.271,0.154509945504787,55.729,-0.660578172348
Latvia,100.0,25.532188565181,15.5958582545501,8.6,13.6,1.25,30.980345193573108,52.109460415460795,6847707000.0,5.40086983966435,4814.843244807121,196.08656467,2.7388191842781096,3.2654466757218903,6.00426586,96.0,97.0,18.1697535426918,6.31906208267861,70.31463414634149,16.920734342801,93.9136260030405,38.0659527943919,-0.963935407092365,31.933000000000003,-0.4835979010286261,68.067,-1.18848873897458
Lithuania,100.0,54.5309508615188,45.915762603701296,9.8,11.1,1.39,33.9481301126271,32.2271857051691,13368176500.0,3.83166714045696,5173.69409930019,211.44160559,1.95641541387629,4.5019292461237095,6.45834466,94.0,97.0,6.06194649805003,6.427067494777651,72.0195121951219,14.9780788384328,99.890338202332,55.83178047223989,-0.703385440488978,33.014,-0.521429376699328,66.986,-0.7929407223097908
Luxembourg,100.0,49.4208494208494,23.9382239382239,13.1,8.6,1.76,57.068040017334994,33.4749034749035,23200800000.0,8.441852354275209,73270.63168463491,3500.00498011,1.1162129793186002,6.36126697372631,7.4774803,99.0,93.0,32.274352509741,22.8873279731211,77.87317073170729,69.5405527491854,100.0,168.455598455598,1.34408299573143,15.784,-3.4060301501777204,84.21600000000001,2.2600345129074904
"Macedonia, FYR",95.45585,48.5646873771136,21.824616594573307,13.297,7.872000000000001,1.723,24.7214478232119,37.6720408965788,248646000000.0,4.54913577822403,2821.6143755821995,152.91536546,3.69201319904922,5.0359956009507805,8.7280088,95.0,97.0,6.24561703455827,2.4855663164006603,73.2421951219512,5.6403861550614,100.0,79.121156114825,0.632647016014268,41.452,1.13805857664348,58.548,0.276353988665466
Moldova,95.05585,77.3722627737226,55.5656934306569,11.785,12.272,1.568,14.2143863045824,9.85401459854015,16019444000.0,2.10000027670804,583.289490848481,23.45404729,3.42288137850042,3.2297128614995803,6.65259424,95.0,89.0,13.0344280347907,1.28284641670022,66.898,3.38431392409008,100.0,126.73997980290399,-0.203359857023458,54.196999999999996,-0.0205296914550877,45.803000000000004,-0.41926523694584295
Netherlands,100.0,57.938388625592395,26.954976303317494,13.0,8.8,1.72,62.35236710430601,10.6635071090047,448061000000.0,4.238763068872791,39870.7696259824,1931.79111729,2.93808019928733,5.01985836071267,7.95793856,97.0,96.0,9.95522090873933,43.984351373138,77.9878048780488,67.81269169853478,100.0,471.72728080568703,0.7147703627843921,23.205,-2.52875208132313,76.795,1.71592210438949
Norway,100.0,2.8528795739845894,2.40660378649947,13.2,9.8,1.85,53.455672089860705,33.1640405755041,1507886000000.0,3.2052850787692098,61655.846792891796,3164.81398608,1.47470838588387,6.946572323702831,8.421311300000001,90.0,88.0,6.64972599442392,52.0,78.6341463414634,71.77887830808459,19.9929689864225,12.2957658557954,0.649044821192665,23.919,-3.42666890555788,76.081,1.9655001812480104
Poland,100.0,60.1162297169349,45.6854614907441,9.9,9.6,1.37,28.540174387728896,29.576545104312896,747032000000.0,4.25980339652656,6874.035461692901,247.14109811,1.65467007492567,3.86644957507434,5.52111965,98.0,97.0,2.15200340817231,7.2854287080601,73.74878048780491,17.5925611340196,100.0,124.90982075810498,-1.04433539837844,38.284,-1.15919892400365,61.716,-0.973016273174752
Portugal,100.0,41.8579234972678,17.8360655737705,11.7,10.2,1.55,41.926251713533,36.5355191256831,128466305000.0,3.78749400060012,18365.5038421983,1063.96114178,3.1071436269463097,6.1891753630537,9.29631899,96.0,87.0,6.17085805904004,16.4304676923534,76.31463414634149,64.6693851618522,99.6249812448712,112.457901639344,0.702859953319024,45.601000000000006,-0.7254704595089879,54.398999999999994,1.91610690404258
Romania,100.0,64.6772016890862,40.8384484785164,10.4,11.4,1.31,17.4162245245899,27.71320360454489,81275300000.0,2.39509453301952,3357.81159652668,72.61456341,0.816634231736909,3.526312408263089,4.34294664,99.0,98.0,0.5981338210524799,3.61371729139783,71.16341463414629,11.162053271089098,99.9884024644309,97.701323407775,-0.129440039806255,46.996,0.198788581093338,53.004,-0.4195656243423849
Russian Federation,100.0,13.256668868358801,7.59241917938337,8.7,15.3,1.21,21.8515743091743,49.4018499097143,7305600000000.0,9.99999999924717,3870.4123330609996,95.95276203,2.17503010800742,3.2468039119925693,5.42183402,96.0,97.0,8.111942901905943,1.97723010897647,65.3414634146341,2.2234504922263,77.8391604734995,8.948996663276631,-0.42056697531099296,26.65,-0.405557869955993,73.35,-0.426019623316813
Slovak Republic,100.0,50.7276507276507,31.7671517671518,10.2,9.8,1.3,31.5140840495842,39.9376299376299,31601286000.0,1.21017621408559,9096.169162416629,207.84076041,0.5836655787581011,4.91524244912246,5.49890793,99.0,98.0,2.19825858459894,9.42680320061637,73.05121951219509,23.0834018496625,99.9640257912524,112.03160083160101,-0.13537648779442502,43.766999999999996,0.004070499353318029,56.233000000000004,-0.24377578251167006
Slovenia,100.0,25.719960278053602,8.589870903674282,9.1,9.3,1.26,39.47631242319221,61.2214498510427,18901970000.0,4.15544215997541,15316.526735093601,831.06947756,2.14783180537475,6.11633301462525,8.26416482,91.0,95.0,8.770416179594509,15.1102595640388,75.4121951219512,61.0994473610801,100.0,98.75496524329692,0.29607496005045003,49.248000000000005,0.24133083987723605,50.751999999999995,0.349225465192366
Spain,100.0,59.6513026052104,26.853707414829696,9.9,9.0,1.23,42.4597796361268,34.0219238476954,646250000000.0,5.289093178732982,24328.664834273997,1045.48200839,2.04729580217676,5.16745955270599,7.21475551,95.0,94.0,4.35352456693971,13.624960808989902,78.9658536585366,60.2367316415819,98.7573328703117,80.6878076152305,0.840384465040216,23.738000000000003,0.49973567005779,76.262,0.946655140742654
Sweden,100.0,7.6838719110981115,6.5872203538529,10.2,10.5,1.54,68.25750843863881,68.6333284593264,2380358000000.0,4.73528713324107,38515.8547903945,2282.45519024,1.23591503151674,6.943697948483258,8.17961298,99.0,91.0,11.1881290006694,45.6876522122282,79.64390243902442,71.822543101641,27.0150545051224,21.621360335331698,0.160575484575313,15.974,-0.0145343299718095,84.02600000000001,0.193899954777834
Switzerland,100.0,39.62149580002021,10.343082683938901,10.9,8.7,1.5,73.0678084582395,30.209492966299,458778949000.0,3.94610250796292,52666.6071496988,3541.07486931,4.41587432130811,5.49217573869188,9.90805006,93.0,82.0,21.7504401990465,47.1,79.6804878048781,64.7333272766019,99.65975219988741,181.76930472624198,0.561954617400164,26.678,0.753320534868121,73.322,0.492417448567961
Turkey,100.0,52.5954029858503,30.957732936605893,21.456,6.396,2.454,29.1180396363513,13.231033093824301,166658021500.0,6.77445533483711,6112.876572731011,197.2223695,1.83474540790962,3.1142398720903794,4.94898528,85.0,87.0,1.99737012038095,3.761685035075,69.9983658536586,25.5378504640869,98.94320024848257,82.1695580993464,1.50484247556414,35.259,0.046400892605273,64.741,2.30817191338841
Ukraine,96.25585,71.46975058254941,56.2078191076206,7.8,15.3,1.11,21.234384512487495,16.414947786312197,170070000000.0,5.8999999901429705,1210.68574199468,35.61724954,2.6934481663537504,2.89545481364625,5.58890298,99.0,99.0,11.239434040873101,0.7161837620310431,67.85951219512201,1.6685085292022,100.0,84.88107016483991,-1.00659633215862,32.855,-1.12523000119657,67.145,-0.9484958744364508
United Kingdom,100.0,70.1194560410036,24.2880171950564,11.5,10.3,1.64,59.7576541127644,12.2101434299177,1027568000000.0,3.7988446300463914,35751.9873807246,1761.38822191,1.4472746304801798,5.485377521076161,6.93265225,91.0,88.0,8.132914821737781,26.821754350857802,77.7414634146342,73.70811815907341,89.6721545746566,243.427908899268,0.357300887421605,21.349,0.0766541100949437,78.65100000000001,0.433615661051976
